,adult,budget,id,imdb_id,original_language,overview,popularity,release_date,revenue,runtime,title,tmdb_id,vote_average,vote_count,belongs_to_collection,genres,production_companies,production_countries,spoken_languages
2277,False,0,grateful+dawg+2000,tt0265212,en,"Jerry Garcia, legendary lead guitarist for the Grateful Dead and David Grisman, virtuoso mandolinist and founder of ""Dawg"" music… Now, for the first time ever, the musical matrimony and extraordinary friendship of Garcia and Grisman is traced in the award-winning documentary Grateful Dawg.",0.052403,2000-10-14,0,81,Grateful Dawg,34453,6.0,1,,Documentary,,,English
2278,False,0,the+beach+1954,tt0046352,en,"A prostitute goes on vacation to a beach resort with her young daughter (who's being schooled by nuns). Everything is cheerful and pleasant at the seashore; the customers at the hotel think she's a poor widow  - she always wears black - and treat her like a lady. But when one of her former clients arrives, her carefree days on the beach are numbered.",0.984672,1954-06-12,0,107,The Beach,276518,5.5,2,,,,,
2279,False,0,the+plague+dogs+1982,tt0084509,en,"The Plague Dogs is a 1982 animated film based on the 1977 novel of the same name by Richard Adams. The story is centred on two dogs named Rowf and Snitter, who escape from a research laboratory in Great Britain. In the process of telling the story, the film highlights the cruelty of performing vivisection and animal research for its own sake.",8.302414,1982-10-21,0,103,The Plague Dogs,30060,8.0,36,,Adventure,United Artists,United States of America,English
2280,False,61000000,shooter+2007,tt0822854,en,"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why.",14.246918,2007-03-22,95696996,124,Shooter,7485,6.9,1495,,Action,Paramount Pictures,United States of America,English
2281,False,2400000,antiviral+2012,tt2099556,en,"After becoming infected with the virus that killed superstar Hannah Geist, Syd March must unravel the mystery surrounding her death to save his own life .",10.540581,2012-09-19,0,110,Antiviral,125490,5.7,112,,Science Fiction,Alliance Films,Canada,English
2282,False,30000000,mr.+3000+2004,tt0339412,en,"Aging baseball star who goes by the nickname, Mr. 3000, finds out many years after retirement that he didn't quite reach 3,000 hits. Now at age 47 he's back to try and reach that goal.",4.902869,2004-06-15,21800302,104,Mr. 3000,16232,5.0,66,,Comedy,Touchstone Pictures,United States of America,English
2283,False,18000000,i+love+you_+beth+cooper+2009,tt1032815,en,"Nerdy teenager Denis Cooverman (Paul Rust) harbors a secret crush on Beth Cooper (Hayden Panettiere), the hottest girl in high school. During his graduation speech, Denis lets the cat out of the bag and declares his love for Beth, who, instead of dissing Denis, shows up at his house later that day and promises to show him the time of his life.",9.434281,2009-07-10,15345201,102,"I Love You, Beth Cooper",19840,5.2,204,,Comedy,Ingenious Film Partners,Canada,English
2284,False,50000000,jerry+maguire+1996,tt0116695,en,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",11.807601,1996-12-06,273552592,139,Jerry Maguire,9390,6.7,941,,Comedy,Gracie Films,United States of America,English
2285,False,1500000,beautiful+2009,tt1170391,en,"Searing and luscious, ""Beautiful"" tells the story of Daniel, a shy and introverted 14 year old boy residing in Sunshine Hills, a suburb living in the grip of fear following the rumoured abductions of three teenage girls. Daniel's two main obsessions are photography and Suzy, a 17 year old Lolita, a dangerous combination of youth and sexuality.",2.713961,2009-04-27,56000,97,Beautiful,21033,4.6,17,,Drama,Kojo Pictures,Australia,English
2286,False,0,marius+1931,tt0022125,fr,"César runs a bar along Marseilles' port, assisted by his 23 year old son, Marius. Colorful characters abound: M. Panisse, an aging widower and prosperous sail maker; Honorine, a fishmonger with a sidewalk stall near the bar; her daughter, Fanny, who helps her sell cockles; and, various old salts. Friends since childhood, Fanny and Marius love each other, but Marius has a secret wanderlust: every ship's whistle stirs a longing for foreign lands. When M. Panisse seeks Fanny's hand in marriage and when a departing clipper needs a deckhand, Marius and Fanny must decide who and what they love most. César, with his generous, comic spirit, tries to guide his son.",0.858991,1931-10-09,0,130,Marius,42818,6.6,9,,Comedy,Les Films Marcel Pagnol,France,Français
